date,ticker,price
2024-01-01,AAPL,148.4357690091608
2024-01-02,AAPL,147.84562841406495
2024-01-03,AAPL,148.45232643559956
2024-01-04,AAPL,147.43077011154784
2024-01-05,AAPL,146.6610194670942
2024-01-06,AAPL,144.96543075926166
2024-01-07,AAPL,146.18714962267302
2024-01-08,AAPL,146.41316802578697
2024-01-09,AAPL,145.8368755168208
2024-01-10,AAPL,146.0454068742505
2024-01-11,AAPL,147.03186977793348
2024-01-12,AAPL,147.44415345860037
2024-01-13,AAPL,145.61481658841734
2024-01-14,AAPL,147.25205579457077
2024-01-15,AAPL,147.70813606025158
2024-01-16,AAPL,146.54931448758708
2024-01-17,AAPL,145.90190744464923
2024-01-18,AAPL,146.26587694424876
2024-01-19,AAPL,145.65954895164217
2024-01-20,AAPL,146.57106702001428
