open,high,low,close,volume
220.77,224.1,220.08,223.75,34493583.0
223.51,225.02,220.47,221.53,34532656.0
221.39,224.99,220.5601,223.85,37094774.0
221.67,223.81,217.68,217.9,39818617.0
217.005,225.62,216.23,222.13,65299321.0
219.805,223.68,218.9,223.19,36412740.0
221.315,225.19,221.02,223.89,35905904.0
205.54,207.49,201.25,203.19,103419006.0
193.89,199.88,187.34,188.38,125910913.0
177.2,194.15,174.62,181.46,160466286.0
186.7,190.335,169.2101,172.42,120859491.0
171.95,200.61,171.89,198.85,184395885.0
189.065,194.7799,183.0,190.42,121879981.0
186.1,199.54,186.06,198.15,87435915.0
211.44,212.94,201.1621,202.52,101352911.0
201.855,203.51,199.8,202.14,51343872.0
198.36,200.7,192.37,194.27,59732423.0
197.2,198.8335,194.42,196.98,52164675.0
193.265,193.8,189.8112,193.16,46742537.0
196.12,201.59,195.97,199.74,52976371.0
206.0,208.0,202.799,204.6,52929165.0
204.89,208.8299,202.94,208.37,47310989.0
206.365,209.75,206.2,209.28,38222258.0
210.0,211.5,207.46,210.14,38743074.0
208.693,212.24,208.37,211.21,36827633.0
209.3,213.58,206.6705,212.5,52286454.0
209.08,214.56,208.9,213.32,57365675.0
206.09,206.99,202.16,205.35,101010621.0
203.1,204.1,198.21,198.89,69018452.0
198.21,200.65,197.02,198.51,51216482.0
199.17,199.44,193.25,196.25,68616943.0
197.72,200.05,194.6796,197.49,50478872.0
199.0,200.5399,197.535,198.53,36453923.0
210.97,211.2679,206.75,210.79,63775814.0
210.43,213.4,209.0,212.93,51909332.0
212.43,213.94,210.5801,212.33,49325825.0
210.95,212.96,209.54,211.45,45029473.0
212.36,212.57,209.77,211.26,54737850.0
207.91,209.48,204.26,208.78,46140527.0
207.67,208.47,205.03,206.86,42496635.0
205.17,207.04,200.71,202.09,59211774.0
200.71,202.75,199.7,201.36,46742407.0
193.665,197.7,193.46,195.27,78432918.0
198.3,200.74,197.43,200.21,56288475.0
200.59,202.73,199.9,200.42,45339678.0
203.575,203.81,198.51,199.95,51477938.0
199.37,201.96,196.78,200.85,70819942.0
200.28,202.13,200.12,201.7,35423294.0
201.35,203.77,200.955,203.27,46381567.0
202.91,206.24,202.1,202.82,43603985.0
203.5,204.75,200.15,200.63,55221235.0
203.0,205.7,202.05,203.92,46607693.0
204.39,206.0,200.02,201.45,72862557.0
200.6,204.35,200.57,202.67,54672608.0
203.5,204.5,198.41,198.78,60989857.0
199.08,199.68,197.3601,199.2,43904635.0
199.73,200.37,195.7,196.45,51447349.0
197.3,198.685,196.5636,198.42,43020691.0
197.2,198.39,195.21,195.64,38856152.0
195.94,197.57,195.07,196.58,45394689.0
198.235,201.7,196.855,201.0,96813542.0
201.625,202.3,198.96,201.5,55814272.0
202.59,203.44,200.2,200.3,54064033.0
201.45,203.67,200.6201,201.56,39525730.0
201.43,202.64,199.46,201.0,50799121.0
201.89,203.22,200.0,201.08,73188571.0
202.01,207.39,199.2607,205.17,91912816.0
206.665,210.1865,206.1401,207.82,78788867.0
208.91,213.34,208.14,212.44,67941811.0
212.145,214.65,211.8101,213.55,34955836.0
212.68,216.23,208.8,209.95,50228984.0
210.1,211.43,208.45,210.01,42848928.0
209.53,211.33,207.22,211.14,48749367.0
210.505,213.48,210.03,212.41,44443635.0
210.565,212.13,209.86,211.16,39765812.0
209.925,210.91,207.54,208.62,38840111.0
209.22,211.89,208.92,209.11,42296339.0
210.295,212.4,208.64,210.16,47490532.0
210.57,211.8,209.59,210.02,48068141.0
210.87,211.79,209.7045,211.18,48974591.0
212.1,215.78,211.63,212.48,51377434.0
213.14,214.95,212.2301,214.4,46404072.0
215.0,215.15,212.41,214.15,46989301.0
213.9,215.69,213.53,213.76,46022620.0
214.7,215.24,213.4,213.88,40268781.0
214.03,214.845,213.06,214.05,37858017.0
214.175,214.81,210.82,211.27,51411723.0
211.895,212.39,207.72,209.05,45512514.0
208.49,209.84,207.16,207.57,80698431.0
210.865,213.58,201.5,202.38,104434473.0
204.505,207.88,201.675,203.35,75109298.0
203.4,205.34,202.16,202.92,44155079.0
205.63,215.38,205.59,213.25,108483103.0
218.875,220.85,216.58,220.03,90224834.0
220.83,231.0,219.25,229.35,113853967.0
227.92,229.56,224.76,227.18,61806132.0
228.005,230.8,227.07,229.65,55672301.0
231.07,235.0,230.43,233.33,69878546.0
234.055,235.12,230.85,232.78,51916275.0
234.0,234.28,229.335,231.59,56038657.0
